,first_purchase,last_purchase,tempo_purchase,day_ratio,evening_ratio,night_ratio,weekend_ratio,Electronics_ratio,Fashion_ratio,Home & Garden_ratio,Collectibles_ratio,Lifestyle_ratio,Parts & Accessories_ratio,Business & Industrial_ratio,Media_ratio,median_purchase_price_percentile,q1_purchase_price_percentile,q3_purchase_price_percentile,min_purchase_price_percentile,max_purchase_price_percentile,Age,gender,number_purchase,openness_group
67,0.757999616785,0.907457811649,0.346905729645,0.377049180328,0.475409836066,0.229508196721,0.508064516129,0.548387096774,0.170419963481,0.0806451612903,0.0188172043011,0.322580645161,0.0,0.161290322581,0.0,0.306666666667,0.447368421053,0.333333333333,0.513157894737,0.421052631579,0.291666666667,1.0,0.234285714286,0.0
71,0.370569074535,0.960805661404,0.062332490958,0.473684210526,0.315789473684,0.210526315789,0.396825396825,0.507936507937,0.100628930818,0.174603174603,0.185185185185,0.253968253968,0.0496031746032,0.0,0.0,0.76,0.789473684211,0.72,0.697368421053,0.526315789474,0.291666666667,1.0,0.118095238095,0.0
72,0.763556236827,0.756124115406,0.0608721622188,0.416666666667,0.333333333333,0.5,0.25,0.4375,0.462264150943,0.125,0.0,0.0,0.0,0.0,0.0,0.0933333333333,0.157894736842,0.08,0.381578947368,0.118421052632,0.208333333333,0.0,0.0285714285714,0.0
80,0.648400076643,0.997822536745,0.188080709332,0.6,0.2375,0.225,0.272727272727,0.227272727273,0.585934819897,0.136363636364,0.0636363636364,0.0181818181818,0.0,0.145454545455,0.0454545454545,0.0,0.0263157894737,0.0133333333333,0.118421052632,0.171052631579,0.166666666667,0.0,0.207619047619,0.0
87,0.916075876605,0.725095264017,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546666666667,0.815789473684,0.0666666666667,0.947368421053,0.0,0.0833333333333,1.0,0.0,0.0
95,0.724659896532,0.977136635819,0.0665919387474,0.1875,0.4375,0.625,0.466666666667,0.266666666667,0.704402515723,0.0333333333333,0.0,0.0666666666667,0.0,0.0,0.0,0.933333333333,0.934210526316,0.96,0.894736842105,0.605263157895,0.416666666667,1.0,0.0552380952381,0.0
104,0.683272657597,0.937942297224,0.0383933348801,0.5,0.25,0.5,0.578947368421,0.421052631579,0.166832174777,0.263157894737,0.0,0.105263157895,0.164473684211,0.210526315789,0.0,0.133333333333,0.0921052631579,0.213333333333,0.0,0.736842105263,0.166666666667,1.0,0.0342857142857,0.0
109,0.691128568691,0.995100707676,0.172950297124,0.489361702128,0.340425531915,0.212765957447,0.47191011236,0.303370786517,0.296798812805,0.269662921348,0.0786516853933,0.112359550562,0.0351123595506,0.134831460674,0.0561797752809,0.506666666667,0.460526315789,0.466666666667,0.0789473684211,0.75,0.166666666667,1.0,0.167619047619,0.0
110,0.869898447979,0.795862819815,0.0874729689566,0.0,1.0,0.0,0.5,0.2,0.211320754717,0.4,0.0,0.0,0.0,0.0,1.0,0.333333333333,0.697368421053,0.6,0.881578947368,0.184210526316,0.0416666666667,0.0,0.0171428571429,0.0
112,0.505269208661,0.989657049537,0.21223669563,0.552083333333,0.135416666667,0.541666666667,0.441860465116,0.71511627907,0.165862220272,0.0639534883721,0.0271317829457,0.0232558139535,0.0,0.116279069767,0.0581395348837,0.266666666667,0.236842105263,0.386666666667,0.236842105263,0.894736842105,0.0416666666667,1.0,0.325714285714,0.0
120,0.877562751485,0.969515514426,0.00998537584089,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.786666666667,0.881578947368,0.506666666667,0.960526315789,0.0526315789474,0.0833333333333,1.0,0.00190476190476,0.0
121,0.860126461008,0.991834512793,0.207496620735,0.3,0.4,0.533333333333,0.4,0.42,0.316981132075,0.18,0.0466666666667,0.0,0.1875,0.08,0.0,0.44,0.421052631579,0.653333333333,0.513157894737,0.644736842105,0.0833333333333,0.0,0.0933333333333,0.0
132,0.457750526921,0.768644529124,0.014440824689,1.0,0.0,0.0,0.272727272727,0.181818181818,0.480274442539,0.363636363636,0.0,0.0,0.0,0.0,0.0,0.653333333333,0.328947368421,0.426666666667,0.513157894737,0.868421052632,0.375,0.0,0.0190476190476,0.0
0,0.936003065721,0.781709308655,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.986666666667,1.0,0.893333333333,1.0,0.236842105263,0.375,0.0,0.0,1.0
13,0.54301590343,0.996733805117,0.071644867542,0.509803921569,0.156862745098,0.588235294118,0.0555555555556,0.833333333333,0.0782669461915,0.0555555555556,0.0432098765432,0.037037037037,0.0,0.0,0.0,0.253333333333,0.302631578947,0.266666666667,0.513157894737,0.315789473684,0.416666666667,1.0,0.100952380952,1.0
15,0.536309637862,1.0,0.177464259014,0.860869565217,0.095652173913,0.0521739130435,0.154411764706,0.360294117647,0.186459489456,0.352941176471,0.0343137254902,0.0588235294118,0.137867647059,0.0882352941176,0.0,0.226666666667,0.184210526316,0.253333333333,0.157894736842,0.289473684211,0.416666666667,1.0,0.257142857143,1.0
19,0.50450277831,0.995100707676,0.0417316199099,0.533333333333,0.2,0.133333333333,0.558823529412,0.764705882353,0.0932297447281,0.0882352941176,0.137254901961,0.0,0.0,0.0,0.0,0.706666666667,0.223684210526,0.706666666667,0.460526315789,0.921052631579,0.75,1.0,0.0628571428571,1.0
